Edit,Item Code,Item Name,Item Volume/Qty,Base Conversion Name,Conversion Volume/Qty,Conversion Name,Conversion Unit,Updated By,Updated Date
,11846,ROYCE CHRISTMAS DECO BALL EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:33:42
,11847,ROYCE HAPPY SELECTION BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:33:42
,11848,ROYCE HOLIDAY SLEEVE CHOCOLATE BAR,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:11
,11849,ROYCE HOLIDAY SLEEVE NUTTY BAR,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:11
,11850,ROYCE HOLIDAY SLEEVE POTATOCHIP,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:11
,11851,ROYCE HOLIDAY FIGURINE,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:32:22
,11852,SANTA PEN,1,PIECE,1,UNIT,1.0,Shubham,2024-12-09 08:58:03
,11853,PROVENANCE PLUM CAKE,1,PIECE,1,UNIT,1.0,Shubham,2024-12-18 19:26:15
,11859,NAMA TESTING CARTONS,1,CARTON,1,UNIT,1.0,admin1,2025-01-09 14:14:09
,11860,ROYCE RED GIFT BAG SMALL,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:08:16
,11861,ROYCE RED GIFT BAG LARGE,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:08:16
,11862,ROYCE NAMA VDAY SLEEVE,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:32:22
,11863,ROYCE RED PAPER BAG SMALL,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:44
,11865,TEST HAMPER ITEM 1,1,Units,1,UNIT,1.0,admin1,2025-01-14 09:00:01
,11866,TEST HAMPER ITEM 2,1,PIECE,1,UNIT,1.0,admin1,2025-01-14 09:16:52
,11867,TEST HAMPER ITEM 3,1,Units,1,UNIT,1.0,admin1,2025-01-14 19:43:25
,11868,TEST DIWALI HAMPER,1,Units,1,UNIT,1.0,admin1,2025-01-28 11:09:43
,11869,TEST NAMA CARTONS,6,PIECE,1,UNIT,0.17,admin1,2025-01-28 15:24:36
